room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7619520,39963337,Private room,,Wainoni,38,5.0,3,1.0,22.0,1.0,-43.52509,172.683212,2016-08-19 21:28:11.494158
5086078,21226430,Private room,,Mt Pleasant,11,5.0,2,1.0,74.0,1.0,-43.565111,172.722489,2016-08-19 21:28:02.690785
10456705,50621375,Private room,,Linwood East,2,,2,1.0,34.0,4.0,-43.531511,172.680014,2016-08-19 21:27:58.748759
12387774,58500737,Entire home/apt,,Edgeware,3,5.0,4,2.0,74.0,1.0,-43.517477,172.648738,2016-08-19 21:27:50.177970
9847866,24561336,Entire home/apt,,Avon Loop,7,4.5,4,2.0,135.0,,-43.52832,172.643396,2016-08-19 21:27:43.012555
13632399,4606077,Private room,,Edgeware,4,5.0,2,1.0,39.0,2.0,-43.515906,172.645444,2016-08-19 21:27:37.247899
2374084,10024497,Private room,,Phillipstown,120,4.5,2,1.0,54.0,2.0,-43.538401,172.657517,2016-08-19 21:27:34.526134
13153846,71711853,Entire home/apt,,Avon Loop,0,,8,5.0,21.0,1.0,-43.521479,172.644839,2016-08-19 21:27:21.718102
8744156,29406849,Private room,,Holmwood,6,4.5,4,1.0,68.0,1.0,-43.521893,172.610879,2016-08-19 21:27:10.399931
10011335,43239106,Private room,,Harewood,3,4.5,4,1.0,116.0,1.0,-43.486769,172.571823,2016-08-19 21:27:07.097223
6438544,33615102,Private room,,Belfast South,0,,2,1.0,82.0,1.0,-43.460446,172.616017,2016-08-19 21:27:02.600619
1841463,6353005,Entire home/apt,,Mt Pleasant,8,5.0,4,2.0,274.0,3.0,-43.557267,172.720557,2016-08-19 21:26:59.635282
13547147,24205506,Entire home/apt,,Aorangi,0,,8,4.0,119.0,,-43.501757,172.587878,2016-08-19 21:26:50.029270
13453335,76858861,Entire home/apt,,Linwood East,0,,5,3.0,56.0,2.0,-43.529531,172.683917,2016-08-19 21:26:46.893447
11595232,61345723,Private room,,Travis Wetland,1,,2,1.0,57.0,1.0,-43.469911,172.675265,2016-08-19 21:26:44.603430
6173680,29973513,Private room,,St Albans West,13,4.5,2,1.0,29.0,2.0,-43.51356,172.631983,2016-08-19 21:26:40.705139
3453502,17404481,Private room,,Deans Bush,1,,2,1.0,68.0,1.0,-43.525789,172.594722,2016-08-19 21:26:35.349326
5281362,9270165,Private room,,Merrin,77,5.0,2,1.0,53.0,1.0,-43.507779,172.562017,2016-08-19 21:26:32.469382
10503500,40234999,Entire home/apt,,St Albans East,19,4.5,4,3.0,128.0,2.0,-43.515183,172.640156,2016-08-19 21:26:29.266525
6926868,35351889,Entire home/apt,,Ilam,16,4.5,8,6.0,135.0,2.0,-43.524664,172.563164,2016-08-19 21:26:24.669980
10415582,53640622,Private room,,Papanui,1,,2,1.0,26.0,1.0,-43.498547,172.607913,2016-08-19 21:26:23.191073
14326898,87646071,Entire home/apt,,Sockburn,1,,8,3.0,119.0,1.0,-43.537065,172.574338,2016-08-19 21:26:14.302551
7940958,41879853,Entire home/apt,,Belfast,27,4.5,4,2.0,90.0,1.0,-43.454763,172.62314,2016-08-19 21:26:03.829823
12889215,3232554,Private room,,Rawhiti,8,5.0,2,1.0,37.0,1.0,-43.50457,172.729111,2016-08-19 21:25:57.109825
5968538,13289099,Private room,,Edgeware,3,5.0,2,1.0,22.0,2.0,-43.5172,172.644746,2016-08-19 21:25:50.426876
13927470,82731402,Private room,,Holmwood,0,,2,1.0,60.0,1.0,-43.518879,172.614257,2016-08-19 21:25:46.834884
2488845,8014835,Entire home/apt,,Cathedral Square,28,5.0,4,2.0,118.0,1.0,-43.530281,172.638276,2016-08-19 21:25:43.450711
2572267,13171208,Entire home/apt,,Bishopdale North,17,5.0,8,4.0,165.0,2.0,-43.483775,172.583687,2016-08-19 21:25:39.210076
5376419,27873077,Private room,,Mona Vale,4,5.0,2,1.0,64.0,1.0,-43.526843,172.605036,2016-08-19 21:25:38.287246
11306741,59114316,Entire home/apt,,Cathedral Square,3,5.0,6,3.0,210.0,2.0,-43.539561,172.618683,2016-08-19 21:25:34.955817
9243231,47752370,Private room,,Strowan,1,,2,1.0,75.0,2.0,-43.506343,172.599162,2016-08-19 21:25:31.973237
8229695,43398377,Entire home/apt,,Edgeware,37,5.0,4,2.0,148.0,1.0,-43.519476,172.643116,2016-08-19 21:25:30.473264
13548527,73257997,Entire home/apt,,Barrington North,4,5.0,4,1.0,61.0,,-43.56019,172.615558,2016-08-19 21:25:30.101988
7900002,37177745,Private room,,Waimairi Beach,9,5.0,2,1.0,68.0,1.0,-43.475044,172.711055,2016-08-19 21:25:23.245596
11640887,61713962,Entire home/apt,,Riccarton,9,5.0,6,4.0,139.0,5.0,-43.532055,172.609601,2016-08-19 21:25:19.622606
6645140,34398370,Private room,,Sydenham,113,5.0,2,1.0,45.0,1.0,-43.552482,172.638063,2016-08-19 21:25:13.789526
10106246,50621375,Private room,,Linwood East,0,,2,1.0,29.0,4.0,-43.530691,172.678212,2016-08-19 21:25:13.431294
13931401,82611056,Private room,,Papanui,0,,2,1.0,53.0,7.0,-43.498582,172.60228,2016-08-19 21:24:57.886551
10994737,24205506,Entire home/apt,,Sydenham,5,5.0,6,3.0,139.0,2.0,-43.547226,172.637955,2016-08-19 21:24:53.376659
4868446,25042587,Entire home/apt,,Papanui,37,5.0,6,3.0,149.0,1.0,-43.499223,172.608173,2016-08-19 21:24:50.148876
13818428,73279211,Private room,,Wigram,9,4.5,2,1.0,30.0,1.0,-43.556244,172.536042,2016-08-19 21:24:44.592816
